identifier,player,full_name,format,span_bat,mat_bat,inns_bat,no,runs_bat,hs,ave_bat,bf,sr_bat,100,50,ducks,4s,6s,span_bowl,mat_bowl,inns_bowl,balls,runs_bowl,wkts,bbi,ave_bowl,econ,sr_bowl,4,5,bbm,10,overs,mdns,total_contribution,ar_rating
0dc00542,Shahid Afridi,Shahid Afridi,Test,1998-2010,27,48,1,1716,156,36.51,0,0,5,8,6,0,0,1998-2010,27,47,3194,1709,48,May-52,35.6,3.21,66.5,0,1,May-43,0,0,0,2676,0.91
bac437e4,ME Waugh,Mark Waugh,Test,1991-2002,128,209,17,8029,153*,41.81,0,0,20,47,19,0,0,1991-2002,128,128,4853,2429,59,May-40,41.16,3,82.2,0,1,May-73,0,0,0,9209,0.65
b9877635,TE Bailey,Trevor Bailey,Test,1949-1959,61,91,14,2290,134*,29.74,0,0,1,10,7,0,0,1949-1959,61,95,9712,3856,132,Jul-34,29.21,2.38,73.5,0,5,Nov-98,1,0,0,4930,0.53
9679838c,BL D'Oliveira,Basil D'Oliveira,Test,1966-1972,44,70,8,2484,158,40.06,0,0,5,15,4,0,0,1966-1972,44,66,5706,1859,47,Mar-46,39.55,1.95,121.4,0,0,May-62,0,0,0,3424,0.51
d8bce357,Wasim Raja,Wasim Raja,Test,1973-1985,57,92,14,2821,125,36.16,0,0,4,18,8,0,0,1973-1985,57,69,4082,1826,51,Apr-50,35.8,2.68,80,0,0,Jun-86,0,0,0,3841,0.36
b84ef9f8,JR Reid,John Reid,Test,1949-1965,58,108,5,3428,142,33.28,0,0,6,22,5,0,0,1949-1965,58,72,7725,2835,85,Jun-60,33.35,2.2,90.8,0,1,Jun-60,0,0,0,5128,-0.07
6ee24e1f,Mudassar Nazar,Mudassar Nazar,Test,1976-1989,76,116,8,4114,231,38.09,0,0,10,17,7,0,0,1976-1989,76,96,5967,2532,66,Jun-32,38.36,2.54,90.4,0,1,Jun-38,0,0,0,5434,-0.27
d2c2b2d5,SR Tendulkar,Sachin Tendulkar,Test,1989-2013,200,329,33,15921,248*,53.78,0,0,51,68,14,0,0,1989-2013,200,145,4240,2492,46,03-Oct,54.17,3.52,92.1,0,0,Mar-14,0,0,0,16841,-0.39
db584dad,CH Gayle,Chris Gayle,Test,2000-2014,103,182,11,7214,333,42.18,0,0,15,37,15,0,0,2000-2014,103,104,7109,3120,73,May-34,42.73,2.63,97.3,0,2,Jun-81,0,0,0,8674,-0.55
0f721006,JO Holder,Jason Holder,Test,2014-2024,69,123,20,3073,202*,29.83,0,0,3,14,11,0,0,2014-2024,69,122,11305,4924,162,Jun-42,30.39,2.61,69.7,0,8,11/103,1,0,0,6313,-0.56
a3f4eb7d,MH Mankad,Vinoo Mankad,Test,1946-1959,44,72,5,2109,231,31.47,0,0,5,6,7,0,0,1946-1959,44,70,14686,5236,162,Aug-52,32.32,2.13,90.6,0,8,13/131,2,0,0,5349,-0.85
e6f9383f,KD Mackay,Ken Mackay,Test,1956-1963,37,52,7,1507,89,33.48,0,0,0,13,6,0,0,1956-1963,37,53,5792,1721,50,Jun-42,34.42,1.78,115.8,0,2,Jul-58,0,0,0,2507,-0.94
126e56a1,Wasim Akram,Wasim Akram,Test,1985-2002,104,147,19,2898,257*,22.64,0,0,3,7,17,0,0,1985-2002,104,181,22627,9779,414,7/119,23.62,2.59,54.6,0,25,11/110,5,0,0,11178,-0.98
ddc0828d,A Flintoff,Andrew Flintoff,Test,1998-2009,79,130,9,3845,167,31.77,0,0,5,26,17,0,0,1998-2009,79,137,14951,7410,226,May-58,32.78,2.97,66.1,0,3,8/156,0,0,0,8365,-1.01
85f2e762,RR Lindwall,Ray Lindwall,Test,1946-1960,61,84,13,1502,118,21.15,0,0,2,5,9,0,0,1946-1960,61,113,13650,5251,228,Jul-38,23.03,2.3,59.8,0,12,Sep-70,0,0,0,6062,-1.88
43fdb946,MD Marshall,Malcolm Marshall,Test,1978-1991,81,107,11,1810,92,18.85,0,0,0,10,15,0,0,1978-1991,81,151,17584,7876,376,Jul-22,20.94,2.68,46.7,0,22,Nov-89,4,0,0,9330,-2.09
7e9fba14,OG Smith,Ozzie Smith,Test,1955-1959,26,42,0,1331,168,31.69,0,0,4,6,8,0,0,1955-1959,26,37,4431,1625,48,May-90,33.85,2.2,92.3,0,1,8/184,0,0,0,2291,-2.16
8f85a32b,R Benaud,Richie Benaud,Test,1952-1964,63,97,7,2201,122,24.45,0,0,3,9,8,0,0,1952-1964,63,116,19108,6704,248,Jul-72,27.03,2.1,77,0,16,11/105,1,0,0,7161,-2.58
2b0c0cd2,RG Nadkarni,Rameshchandra Nadkarni,Test,1955-1968,41,67,12,1414,122*,25.7,0,0,1,7,6,0,0,1955-1968,41,65,9165,2559,88,Jun-43,29.07,1.67,104.1,0,4,11/122,1,0,0,3174,-3.37
72ec55b5,BE Congdon,Bevan Congdon,Test,1965-1978,61,114,7,3448,176,32.22,0,0,7,19,9,0,0,1965-1978,61,66,5620,2154,59,May-65,36.5,2.29,95.2,0,1,May-65,0,0,0,4628,-4.28
d7c6af50,DL Vettori,Daniel Vettori,Test,1997-2014,113,174,23,4531,140,30,0,0,6,23,20,0,0,1997-2014,113,187,28814,12441,362,Jul-87,34.36,2.59,79.5,0,20,12/149,3,0,0,11771,-4.36
4c5d73db,CR Woakes,Chris Woakes,Test,2013-2025,62,99,18,2034,137*,25.11,0,0,1,7,11,0,0,2013-2025,62,118,11219,5686,192,Jun-17,29.61,3.04,58.4,0,5,11/102,1,0,0,5874,-4.5
14a3d50e,M Prabhakar,Manoj Prabhakar,Test,1984-1995,39,58,9,1600,120,32.65,0,0,1,9,3,0,0,1984-1995,39,68,7475,3581,96,6/132,37.3,2.87,77.8,0,3,Jun-92,0,0,0,3520,-4.65
99639abf,NJ Astle,Nathan Astle,Test,1996-2006,81,137,10,4702,222,37.02,0,0,11,24,11,0,0,1996-2006,81,94,5688,2143,51,Mar-27,42.01,2.26,111.5,0,0,Jun-62,0,0,0,5722,-4.99
c0790f82,L Klusener,Lance Klusener,Test,1996-2004,49,69,11,1906,174,32.86,0,0,4,8,4,0,0,1996-2004,49,84,6887,3033,80,Aug-64,37.91,2.64,86,0,1,8/139,0,0,0,3506,-5.05
69c90b3e,RJ Shastri,Ravi Shastri,Test,1981-1992,80,121,14,3830,206,35.79,0,0,11,12,9,0,0,1981-1992,80,125,15751,6185,151,May-75,40.96,2.35,104.3,0,2,8/179,0,0,0,6850,-5.17
bcce309e,WPUJC Vaas,Chaminda Vaas,Test,1994-2009,111,162,35,3089,100*,24.32,0,0,1,13,12,0,0,1994-2009,111,194,23438,10501,355,Jul-71,29.58,2.68,66,0,12,14/191,2,0,0,10189,-5.26
2e8994e7,JP Duminy,Jean Paul Duminy,Test,2008-2017,46,74,10,2103,166,32.85,0,0,6,8,9,0,0,2008-2017,46,57,2703,1601,42,Apr-47,38.11,3.55,64.3,0,0,Apr-51,0,0,0,2943,-5.26
ded9240e,PJ Cummins,Pat Cummins,Test,2011-2025,72,107,13,1567,64*,16.67,0,0,0,3,13,0,0,2011-2025,72,134,14391,6946,315,Jun-23,22.05,2.89,45.6,0,14,Oct-62,2,0,0,7867,-5.38
37f501d7,HH Streak,Heath Streak,Test,1993-2005,65,107,18,1990,127*,22.35,0,0,1,11,15,0,0,1993-2005,65,102,13559,6079,216,Jun-73,28.14,2.69,62.7,0,7,Sep-72,0,0,0,6310,-5.79
3fb19989,MA Starc,Mitchell Starc,Test,2011-2026,105,154,33,2478,99,20.47,0,0,0,13,17,0,0,2011-2026,105,202,20013,11481,433,Jul-58,26.51,3.44,46.2,0,18,Nov-94,3,0,0,11138,-6.04
f5180fe6,MG Johnson,Mitchell Johnson,Test,2007-2015,73,109,16,2065,123*,22.2,0,0,1,11,19,0,0,2007-2015,73,140,16001,8891,313,Aug-61,28.4,3.33,51.1,0,12,12/127,3,0,0,8325,-6.2
